Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop ,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Martinique,230354,,1102.0,,,,,,615777.0,2946,828928.0,2215870.0,374087.0,North America,2.0,339.0,0.0,,,612553
Laos,218951,,758.0,,,,,,29268.0,101,1233207.0,164845.0,7481023.0,Asia,34.0,9869.0,6.0,,,28142
Iceland,209889,,229.0,,,,,,607682.0,663,1996384.0,5780036.0,345393.0,Europe,2.0,1508.0,0.0,,,387891
Kyrgyzstan,206897,,2991.0,,196406.0,,7500.0,131.0,30750.0,445,1907195.0,283460.0,6728271.0,Asia,33.0,2250.0,4.0,,,1115
Guadeloupe,203235,,1021.0,,,,,,508349.0,2554,938039.0,2346306.0,399794.0,North America,2.0,392.0,0.0,,,500168
El Salvador,201855,,4230.0,,179410.0,,18215.0,,30816.0,646,2610114.0,398467.0,6550389.0,North America,32.0,1549.0,3.0,,,2781
Trinidad and Tobago,191496,,4390.0,,187078.0,,28.0,,136143.0,3121,913289.0,649295.0,1406585.0,North America,7.0,320.0,2.0,,,20
Maldives,186694,,316.0,,163687.0,,22691.0,25.0,345100.0,584,2213831.0,4092223.0,540985.0,Asia,3.0,1712.0,0.0,,,41944
Namibia,172280,,4103.0,,167099.0,,1078.0,,65409.0,1558,1062663.0,403460.0,2633874.0,Africa,15.0,642.0,2.0,,,409
Uganda,171983,,3632.0,,100431.0,,67920.0,,3551.0,75,3012408.0,62198.0,48432863.0,Africa,282.0,13335.0,16.0,,,1402
Ghana,171889,,1462.0,,170425.0,,2.0,,5306.0,45,2541625.0,78456.0,32395450.0,Africa,188.0,22158.0,13.0,,,0.06
Jamaica,156857,,3748.0,,,,,,52547.0,1256,1183986.0,396633.0,2985094.0,North America,19.0,796.0,3.0,,,16711
Cambodia,139096,,3056.0,,136039.0,,1.0,,8102.0,178,3091420.0,180062.0,17168639.0,Asia,123.0,5618.0,6.0,,,0.06
Rwanda,133518,,1468.0,,132039.0,,11.0,,9817.0,108,6021981.0,442778.0,13600464.0,Africa,102.0,9265.0,2.0,,,0.8
Cameroon,125379,,1974.0,,123280.0,,125.0,,4492.0,71,1751774.0,62762.0,27911548.0,Africa,223.0,14140.0,16.0,,,4
Malta,121410,,885.0,,120133.0,,392.0,,273426.0,1993,2168789.0,4884297.0,444033.0,Europe,4.0,502.0,0.0,,,883
Barbados,110575,,648.0,,108647.0,,1280.0,,383910.0,2250,814159.0,2826715.0,288023.0,North America,3.0,444.0,0.0,,,4444
Angola,107323,,1937.0,,103419.0,,1967.0,,3064.0,55,1499795.0,42818.0,35027343.0,Africa,326.0,18083.0,23.0,,,56
Channel Islands,101717,,228.0,,101321.0,,168.0,,576421.0,1292,1252808.0,7099551.0,176463.0,Europe,2.0,774.0,0.0,,,952
DRC,99338,,1468.0,,84489.0,,13381.0,,1043.0,15,846704.0,8890.0,95240792.0,Africa,959.0,64878.0,112.0,,,140
French Guiana,98041,,420.0,,11254.0,,86367.0,6.0,312065.0,1337,651257.0,2072951.0,314169.0,South America,3.0,748.0,0.0,,,274906
Malawi,89535,,2686.0,,,,,,4437.0,133,624784.0,30959.0,20180839.0,Africa,225.0,7513.0,32.0,,,16
Senegal,89053,,1971.0,,87024.0,,58.0,,5044.0,112,1146543.0,64946.0,17653671.0,Africa,198.0,8957.0,15.0,,,3
Ivory Coast,88384,,835.0,,87497.0,,52.0,,3186.0,30,1690934.0,60951.0,27742298.0,Africa,314.0,33224.0,16.0,,,2
Suriname,82588,,1408.0,,,,,,138378.0,2359,242207.0,405822.0,596831.0,South America,7.0,424.0,2.0,,,52623
New Caledonia,80064,,314.0,,,,,,275214.0,1079,98964.0,340182.0,290915.0,Australia/Oceania,4.0,926.0,3.0,,,498
French Polynesia,79254,,650.0,,,,,,278902.0,2287,,,284164.0,Australia/Oceania,4.0,437.0,,,,158725
Eswatini,75191,,1427.0,,73116.0,,648.0,,63462.0,1204,1048704.0,885119.0,1184817.0,Africa,16.0,830.0,1.0,,,547
Guyana,74137,,1300.0,,72013.0,,824.0,,93366.0,1637,733218.0,923396.0,794045.0,South America,11.0,611.0,1.0,,,1038
Belize,71381,,688.0,,,,,,173175.0,1669,576016.0,1397453.0,412190.0,North America,6.0,599.0,1.0,,,1475
Fiji,69117,,885.0,,67226.0,,1006.0,,75997.0,973,672883.0,739866.0,909466.0,Australia/Oceania,13.0,1028.0,1.0,,,1106
Madagascar,68486,,1426.0,,66862.0,,198.0,,2347.0,49,531329.0,18210.0,29178077.0,Africa,426.0,20461.0,55.0,,,7
Cabo Verde,64477,,417.0,,63755.0,,305.0,23.0,113580.0,735,401622.0,707482.0,567678.0,Africa,9.0,1361.0,1.0,,,537
Sudan,63993,,5046.0,,58947.0,,0.0,,1391.0,110,562941.0,12240.0,45992020.0,Africa,719.0,9115.0,82.0,,,
Mauritania,63839,,997.0,,62471.0,,371.0,,13023.0,203,1009957.0,206030.0,4901981.0,Africa,77.0,4917.0,5.0,,,76
Bhutan,62697,,21.0,,61564.0,,1112.0,,79571.0,27,2303734.0,2923739.0,787941.0,Asia,13.0,37521.0,0.0,,,1411
Syria,57743,,3165.0,,54578.0,,0.0,,2982.0,163,146269.0,7553.0,19364809.0,Asia,335.0,6118.0,132.0,,,
Burundi,54721,,38.0,,53569.0,,1114.0,,4334.0,3,345742.0,27386.0,12624840.0,Africa,231.0,332233.0,37.0,,,88
Seychelles,51220,,172.0,,51048.0,,0.0,,515157.0,1730,,,99426.0,Africa,2.0,578.0,,,,
Gabon,49051,,307.0,,48674.0,,70.0,,21038.0,132,1621909.0,695641.0,2331533.0,Africa,48.0,7595.0,1.0,,,30
Andorra,48015,,165.0,,,,,,619844.0,2130,249838.0,3225256.0,77463.0,Europe,2.0,469.0,0.0,,,3705
Papua New Guinea,46864,,670.0,,46168.0,,26.0,,5043.0,72,249149.0,26813.0,9292169.0,Australia/Oceania,198.0,13869.0,37.0,,,3
Curaçao,45986,,295.0,,44720.0,,971.0,3.0,277812.0,1782,496693.0,3000640.0,165529.0,North America,4.0,561.0,0.0,,,5866
Aruba,44224,,292.0,,42438.0,,1494.0,2.0,410969.0,2714,177885.0,1653068.0,107609.0,North America,2.0,369.0,1.0,,,13884
Tanzania,43223,,846.0,,,,,,683.0,13,,,63298550.0,Africa,1464.0,74821.0,,,,667
Mauritius,43025,,1051.0,,41278.0,,696.0,,33752.0,824,358675.0,281374.0,1274727.0,Africa,30.0,1213.0,4.0,,,546
Mayotte,42027,,188.0,,,,,,146815.0,657,176919.0,618038.0,286259.0,Africa,7.0,1523.0,2.0,,,135804
Togo,39569,,290.0,,39277.0,,2.0,,4558.0,33,815088.0,93895.0,8680837.0,Africa,219.0,29934.0,11.0,,,0.2
Guinea,38572,,468.0,,37757.0,,347.0,,2782.0,34,660107.0,47607.0,13865691.0,Africa,359.0,29628.0,21.0,,,25
Bahamas,38084,,844.0,,36366.0,,874.0,1.0,95087.0,2107,257839.0,643767.0,400516.0,North America,11.0,475.0,2.0,,,2182
Isle of Man,38008,,116.0,,,,,,443335.0,1353,150753.0,1758422.0,85732.0,Europe,2.0,739.0,1.0,,,129450
Lesotho,36138,,723.0,,25980.0,,9435.0,,16610.0,332,431221.0,198199.0,2175699.0,Africa,60.0,3009.0,5.0,,,4337
Haiti,34667,,860.0,,33734.0,,73.0,,2968.0,74,132422.0,11337.0,11680283.0,North America,337.0,13582.0,88.0,,,6
Faeroe Islands,34658,,28.0,,,,,,703959.0,569,778000.0,15802409.0,49233.0,Europe,1.0,1758.0,0.0,,,547133
Mali,33164,,743.0,,32332.0,,89.0,,1544.0,35,804909.0,37483.0,21473764.0,Africa,648.0,28901.0,27.0,,,4
Cayman Islands,31472,,37.0,,8553.0,,22882.0,1.0,467797.0,550,222773.0,3311280.0,67277.0,North America,2.0,1818.0,0.0,,,340116
Saint Lucia,30215,,410.0,,29805.0,,0.0,,163225.0,2215,210983.0,1139752.0,185113.0,North America,6.0,451.0,1.0,,,
Benin,28036,,163.0,,27847.0,,26.0,,2193.0,13,604310.0,47268.0,12784726.0,Africa,456.0,78434.0,21.0,,,2
Somalia,27334,,1361.0,,13182.0,,12791.0,,1623.0,81,400466.0,23778.0,16841795.0,Africa,616.0,12375.0,42.0,,,759
